DATE,PALLFNFINDEXM_PC1
2004-01-01,11.91321
2004-02-01,3.60274
2004-03-01,14.74309
2004-04-01,23.61396
2004-05-01,26.45636
2004-06-01,21.79778
2004-07-01,25.97557
2004-08-01,25.64311
2004-09-01,24.95152
2004-10-01,28.07693
2004-11-01,24.25498
2004-12-01,17.10717
2005-01-01,16.82529
2005-02-01,19.98419
2005-03-01,25.13917
2005-04-01,23.01097
2005-05-01,14.87193
2005-06-01,21.79086
2005-07-01,22.73406
2005-08-01,28.21644
2005-09-01,33.61918
2005-10-01,24.05794
2005-11-01,20.86672
2005-12-01,28.59955
2006-01-01,26.31404
2006-02-01,21.34590
2006-03-01,13.01878
2006-04-01,22.98809
2006-05-01,30.88055
2006-06-01,22.79035
2006-07-01,24.39027
2006-08-01,17.92451
2006-09-01,4.57402
2006-10-01,3.38126
2006-11-01,12.09993
2006-12-01,8.82323
2007-01-01,2.82078
2007-02-01,10.05108
2007-03-01,11.86533
2007-04-01,9.19734
2007-05-01,5.71983
2007-06-01,8.50089
2007-07-01,6.57461
2007-08-01,2.48162
2007-09-01,17.02459
2007-10-01,25.79895
2007-11-01,30.17477
2007-12-01,27.76924
2008-01-01,39.20514
2008-02-01,38.18728
2008-03-01,43.41241
2008-04-01,40.75863
2008-05-01,49.81407
2008-06-01,56.90339
2008-07-01,56.34091
2008-08-01,44.36161
2008-09-01,25.90052
2008-10-01,-2.68739
2008-11-01,-22.07297
2008-12-01,-30.56428
2009-01-01,-31.77584
2009-02-01,-37.01586
2009-03-01,-40.68312
2009-04-01,-41.59281
2009-05-01,-40.79069
2009-06-01,-39.10446
2009-07-01,-42.28533
2009-08-01,-31.72555
2009-09-01,-27.61367
2009-10-01,-5.96018
2009-11-01,15.10685
2009-12-01,31.77929
2010-01-01,33.69906
2010-02-01,35.33888
2010-03-01,39.81705
2010-04-01,44.45054
2010-05-01,25.60982
2010-06-01,13.80668
2010-07-01,18.36973
2010-08-01,15.13836
2010-09-01,20.73359
2010-10-01,19.70513
2010-11-01,19.15025
2010-12-01,23.47216
2011-01-01,22.78693
2011-02-01,30.47124
2011-03-01,30.49169
2011-04-01,29.88111
2011-05-01,32.93714
2011-06-01,34.43660
2011-07-01,36.03566
2011-08-01,29.34199
2011-09-01,25.58868
2011-10-01,15.05692
2011-11-01,12.80750
2011-12-01,4.77245
2012-01-01,2.68073
2012-02-01,2.03912
2012-03-01,0.94932
2012-04-01,-5.46042
2012-05-01,-7.66676
2012-06-01,-12.83058
2012-07-01,-11.22544
2012-08-01,-6.60410
2012-09-01,-4.61284
2012-10-01,-2.04197
2012-11-01,-4.65574
2012-12-01,-2.41645
2013-01-01,-1.64602
2013-02-01,-3.79513
2013-03-01,-8.35721
2013-04-01,-8.63543
2013-05-01,-3.56559
2013-06-01,1.61703
2013-07-01,-0.38641
2013-08-01,-1.54825
2013-09-01,-2.89386
2013-10-01,-3.53692
2013-11-01,-3.21239
2013-12-01,-1.55531
2014-01-01,-4.58313
2014-02-01,-2.94359
2014-03-01,-1.02378
2014-04-01,1.59075
2014-05-01,0.95330
2014-06-01,2.65533
2014-07-01,-0.59208
2014-08-01,-5.41887
2014-09-01,-8.07567
2014-10-01,-11.79625
2014-11-01,-15.03508
2014-12-01,-24.80907
2015-01-01,-31.47410
2015-02-01,-31.23137
2015-03-01,-33.12596
2015-04-01,-32.83981
2015-05-01,-29.66746
2015-06-01,-31.09409
2015-07-01,-33.76194
2015-08-01,-35.97967
2015-09-01,-33.98445
2015-10-01,-30.12397
2015-11-01,-31.06799
2015-12-01,-28.10738
2016-01-01,-25.30317
2016-02-01,-25.69797
2016-03-01,-17.57796
2016-04-01,-15.74703
2016-05-01,-15.25898
2016-06-01,-11.41027
2016-07-01,-6.30151
2016-08-01,0.76627
2016-09-01,0.97090
2016-10-01,4.15601
2016-11-01,9.58107
2016-12-01,23.01749
2017-01-01,35.85235
2017-02-01,33.19053
2017-03-01,18.43850
2017-04-01,14.69415
2017-05-01,8.20844
2017-06-01,2.35918
2017-07-01,5.49845
2017-08-01,7.80841
2017-09-01,10.84765
2017-10-01,8.93009
2017-11-01,14.60824
2017-12-01,9.79488
2018-01-01,12.01587
2018-02-01,8.98229
2018-03-01,13.97699
2018-04-01,15.66986
2018-05-01,22.24607
2018-06-01,24.91727
2018-07-01,20.08862
2018-08-01,14.90928
2018-09-01,15.58699
2018-10-01,14.93676
2018-11-01,0.83029
2018-12-01,-5.39675
2019-01-01,-9.82898
2019-02-01,-6.15887
2019-03-01,-5.10798
2019-04-01,-3.85577
2019-05-01,-9.44977
2019-06-01,-12.45663
2019-07-01,-9.44677
2019-08-01,-11.92783
2019-09-01,-13.30313
2019-10-01,-15.30212
2019-11-01,-3.99734
2019-12-01,3.47486
2020-01-01,2.12496
2020-02-01,-6.78235
2020-03-01,-21.83270
2020-04-01,-31.96181
2020-05-01,-24.19026
2020-06-01,-13.54956
2020-07-01,-12.61983
2020-08-01,-3.35850
2020-09-01,-5.74950
2020-10-01,-2.11805
2020-11-01,-1.57140
2020-12-01,4.62085
2021-01-01,14.91102
2021-02-01,26.70552
2021-03-01,50.69458
2021-04-01,72.72874
2021-05-01,69.81746
2021-06-01,60.81329
2021-07-01,60.32869
2021-08-01,50.11486
2021-09-01,59.03781
2021-10-01,73.14058
2021-11-01,59.03667
2021-12-01,48.54803
2022-01-01,39.00855
2022-02-01,44.65073
2022-03-01,70.66993
2022-04-01,56.15440
