DATE,BOGMBASE_PCH
1959-02-01,-1.38614
1959-03-01,-0.20080
1959-04-01,0.80483
1959-05-01,0.00000
1959-06-01,0.39920
1959-07-01,0.99404
1959-08-01,-0.19685
1959-09-01,0.00000
1959-10-01,0.00000
1959-11-01,0.39448
1959-12-01,1.17878
1960-01-01,-1.55340
1960-02-01,-2.16963
1960-03-01,-0.20161
1960-04-01,0.40404
1960-05-01,0.00000
1960-06-01,0.60362
1960-07-01,1.00000
1960-08-01,-0.39604
1960-09-01,-0.79523
1960-10-01,0.40080
1960-11-01,0.39920
1960-12-01,-0.99404
1961-01-01,-1.40562
1961-02-01,-1.42566
1961-03-01,0.00000
1961-04-01,0.20661
1961-05-01,0.00000
1961-06-01,0.82474
1961-07-01,0.61350
1961-08-01,0.20325
1961-09-01,0.60852
1961-10-01,0.80645
1961-11-01,1.00000
1961-12-01,1.58416
1962-01-01,-1.36452
1962-02-01,-1.58103
1962-03-01,0.40161
1962-04-01,0.80000
1962-05-01,0.19841
1962-06-01,0.79208
1962-07-01,0.78585
1962-08-01,-0.19493
1962-09-01,0.19531
1962-10-01,0.58480
1962-11-01,-0.58140
1962-12-01,1.94932
1963-01-01,-1.33843
1963-02-01,-1.16279
1963-03-01,0.39216
1963-04-01,0.58594
1963-05-01,0.38835
1963-06-01,0.96712
1963-07-01,1.14943
1963-08-01,-0.37879
1963-09-01,0.57034
1963-10-01,0.37807
1963-11-01,1.31827
1963-12-01,2.04461
1964-01-01,-1.27505
1964-02-01,-1.29151
1964-03-01,0.56075
1964-04-01,0.55762
1964-05-01,0.36969
1964-06-01,1.10497
1964-07-01,0.91075
1964-08-01,0.00000
1964-09-01,0.90253
1964-10-01,0.53667
1964-11-01,1.06762
1964-12-01,1.58451
1965-01-01,-1.03986
1965-02-01,-1.05079
1965-03-01,0.35398
1965-04-01,0.70547
1965-05-01,0.17513
1965-06-01,1.04895
1965-07-01,1.03806
1965-08-01,-0.34247
1965-09-01,0.68729
1965-10-01,0.85324
