DATE,BOGMBASE_PC1
1960-01-01,0.39604
1960-02-01,-0.40161
1960-03-01,-0.40241
1960-04-01,-0.79840
1960-05-01,-0.79840
1960-06-01,-0.59642
1960-07-01,-0.59055
1960-08-01,-0.78895
1960-09-01,-1.57791
1960-10-01,-1.18343
1960-11-01,-1.17878
1960-12-01,-3.30097
1961-01-01,-3.15582
1961-02-01,-2.41935
1961-03-01,-2.22222
1961-04-01,-2.41449
1961-05-01,-2.41449
1961-06-01,-2.20000
1961-07-01,-2.57426
1961-08-01,-1.98807
1961-09-01,-0.60120
1961-10-01,-0.19960
1961-11-01,0.39761
1961-12-01,3.01205
1962-01-01,3.05499
1962-02-01,2.89256
1962-03-01,3.30579
1962-04-01,3.91753
1962-05-01,4.12371
1962-06-01,4.08998
1962-07-01,4.26829
1962-08-01,3.85396
1962-09-01,3.42742
1962-10-01,3.20000
1962-11-01,1.58416
1962-12-01,1.94932
1963-01-01,1.97628
1963-02-01,2.40964
1963-03-01,2.40000
1963-04-01,2.18254
1963-05-01,2.37624
1963-06-01,2.55403
1963-07-01,2.92398
1963-08-01,2.73438
1963-09-01,3.11891
1963-10-01,2.90698
1963-11-01,4.87329
1963-12-01,4.97132
1964-01-01,5.03876
1964-02-01,4.90196
1964-03-01,5.07813
1964-04-01,5.04854
1964-05-01,5.02901
1964-06-01,5.17241
1964-07-01,4.92424
1964-08-01,5.32319
1964-09-01,5.67108
1964-10-01,5.83804
1964-11-01,5.57621
1964-12-01,5.10018
1965-01-01,5.35055
1965-02-01,5.60748
1965-03-01,5.39033
1965-04-01,5.54529
1965-05-01,5.34070
1965-06-01,5.28233
1965-07-01,5.41516
1965-08-01,5.05415
1965-09-01,4.83005
1965-10-01,5.16014
1965-11-01,4.92958
1965-12-01,5.71924
1966-01-01,5.95447
1966-02-01,5.84071
1966-03-01,5.64374
1966-04-01,5.95447
1966-05-01,5.94406
1966-06-01,5.70934
1966-07-01,6.33562
1966-08-01,6.01375
1966-09-01,6.48464
1966-10-01,5.92217
1966-11-01,5.70470
1966-12-01,5.24590
1967-01-01,5.45455
1967-02-01,5.85284
1967-03-01,5.50918
1967-04-01,4.62810
1967-05-01,4.62046
1967-06-01,4.74632
1967-07-01,4.34783
1967-08-01,4.86224
1967-09-01,4.48718
1967-10-01,5.27157
1967-11-01,5.55556
1967-12-01,5.60748
1968-01-01,6.11285
1968-02-01,6.16114
1968-03-01,6.80380
1968-04-01,7.42496
1968-05-01,7.41325
1968-06-01,7.65625
1968-07-01,7.56173
1968-08-01,8.03709
1968-09-01,7.36196
1968-10-01,7.43551
1968-11-01,7.81955
1968-12-01,7.81711
1969-01-01,7.68095
1969-02-01,7.14286
1969-03-01,6.37037
1969-04-01,6.47059
1969-05-01,7.78267
1969-06-01,6.67634
